dataset,prompt_tokens,full_elapsed_sec,kvmanage_elapsed_sec,speedup
speed3,13047,5.7000,4.9700,1.1469
speed3,13240,6.3100,6.2100,1.0161
speed3,14047,6.2500,5.0500,1.2376
speed3,14296,6.7600,6.5300,1.0352
speed3,15047,6.6800,5.2400,1.2748
speed3,15352,6.7800,6.9500,0.9755
speed3,16047,6.9600,5.3700,1.2961
speed3,16408,6.8200,7.0900,0.9619
speed3,17047,6.9000,5.5000,1.2545
speed3,17191,5.4600,5.6300,0.9698
speed3,17464,7.2900,7.1200,1.0239
speed3,18047,7.4200,5.7000,1.3018
speed3,18207,7.6400,5.7600,1.3264
speed3,18520,7.6100,7.4500,1.0215
speed3,18666,7.8600,7.3200,1.0738
speed3,19047,7.7500,5.8500,1.3248
speed3,19223,7.9900,5.8700,1.3612
speed3,19576,8.2500,8.1400,1.0135
speed3,19738,7.3800,7.6000,0.9711
speed3,20047,8.2200,6.0300,1.3632
speed3,20239,8.2100,6.1300,1.3393
speed3,20632,8.5400,8.0200,1.0648
speed3,20810,8.4900,7.5500,1.1245
speed3,21047,8.3900,6.2000,1.3532
speed3,21255,8.6200,6.2500,1.3792
speed3,21688,8.8600,7.0400,1.2585
speed3,21882,8.8800,6.9200,1.2832
speed3,22047,8.4100,6.5300,1.2879
speed3,22145,8.4400,6.4600,1.3065
speed3,22271,8.4600,6.3700,1.3281
speed3,22744,9.0200,8.3100,1.0854
speed3,22820,9.3000,7.6900,1.2094
speed3,22954,8.5600,7.7400,1.1059
speed3,23047,9.1500,6.3200,1.4478
speed3,23161,7.0700,6.5900,1.0728
speed3,23287,7.3600,6.3200,1.1646
speed3,23800,8.6000,7.9100,1.0872
speed3,23892,9.5900,8.6100,1.1138
speed3,24026,9.6900,8.6300,1.1228
speed3,24047,7.6200,6.5800,1.1581
speed3,24177,7.6700,6.7700,1.1329
speed3,24303,7.7200,6.6700,1.1574
speed3,24856,9.6600,8.6900,1.1116
speed3,24964,9.4100,8.5900,1.0955
speed3,25047,9.6900,6.8000,1.4250
speed3,25098,10.0200,8.9200,1.1233
speed3,25193,7.8900,6.8500,1.1518
speed3,25319,7.8100,7.1200,1.0969
speed3,25912,10.2900,8.9500,1.1497
speed3,26036,10.1200,8.8300,1.1461
speed3,26047,10.0700,7.1500,1.4084
speed3,26170,9.4500,8.3600,1.1304
speed3,26209,8.2500,7.0200,1.1752
speed3,26335,8.1800,6.4500,1.2682
speed3,26968,10.8200,9.1800,1.1786
speed3,27047,8.3600,7.1500,1.1692
speed3,27108,10.0900,9.0600,1.1137
speed3,27225,8.6000,7.3000,1.1781
speed3,27242,10.4200,9.1700,1.1363
speed3,27351,8.6300,7.2000,1.1986
speed3,28024,11.0900,9.1100,1.2173
speed3,28047,8.8600,7.5000,1.1813
speed3,28180,11.0200,9.0400,1.2190
speed3,28241,9.0000,7.2000,1.2500
speed3,28314,10.9800,9.3600,1.1731
speed3,28367,8.9200,7.5500,1.1815
speed3,29047,9.3500,7.8300,1.1941
speed3,29080,11.3300,9.5600,1.1851
speed3,29252,11.3900,9.5500,1.1927
speed3,29257,9.3900,7.5900,1.2372
speed3,29383,9.3600,6.9500,1.3468
speed3,29386,11.4600,10.0900,1.1358
speed3,30136,12.0200,9.6300,1.2482
speed3,30273,9.6800,7.9800,1.2130
speed3,30324,11.6700,9.3200,1.2521
speed3,30399,11.7900,7.1200,1.6559
speed3,30458,11.7800,9.4500,1.2466
speed3,31192,11.9200,9.6300,1.2378
speed3,31289,10.0800,7.9200,1.2727
speed3,31396,12.2400,8.7700,1.3957
speed3,31415,12.3500,7.3400,1.6826
speed3,31530,12.0500,9.6700,1.2461
speed3,32305,10.7700,8.2400,1.3070
speed3,32431,12.5900,7.4500,1.6899
speed3,32468,12.3800,9.9900,1.2392
speed3,32602,11.8900,9.8400,1.2083
speed3,33321,10.9700,8.3600,1.3122
speed3,33447,11.0100,8.2900,1.3281
speed3,33540,12.4700,9.1500,1.3628
speed3,33674,12.1400,9.8800,1.2287
speed3,34337,11.4600,8.4900,1.3498
speed3,34463,11.4000,8.4600,1.3475
speed3,34612,12.6800,10.5600,1.2008
speed3,34746,13.1000,9.3900,1.3951
speed3,35353,13.8800,8.5500,1.6234
speed3,35684,13.1600,9.5100,1.3838
speed3,35818,13.3300,9.8100,1.3588
speed3,36369,14.3100,10.0600,1.4225
speed3,36756,14.3000,10.2700,1.3924
speed3,37385,15.0500,8.9100,1.6891
speed3,37828,14.5200,10.5300,1.3789
speed3,38401,14.9000,9.3700,1.5902
speed3,38900,14.9800,10.5200,1.4240
speed3,39972,15.0100,10.1400,1.4803
