dataset,prompt_tokens,full_elapsed_sec,kvmanage_elapsed_sec,speedup
combined,33540,12.4500,9.8400,1.2652
combined,33575,11.0900,8.3800,1.3234
combined,33674,12.8200,10.8300,1.1837
combined,33701,11.1500,8.3200,1.3401
combined,33808,13.2200,9.9900,1.3233
combined,33942,12.7300,10.3600,1.2288
combined,34337,11.3800,8.4800,1.3420
combined,34463,11.5000,8.4200,1.3658
combined,34591,13.4700,8.4400,1.5960
combined,34612,13.1400,9.8500,1.3340
combined,34717,13.5600,8.5500,1.5860
combined,34746,13.1200,9.8100,1.3374
combined,34880,13.0600,9.9300,1.3152
combined,35014,13.3800,10.2600,1.3041
combined,35353,13.6300,8.9900,1.5161
combined,35607,13.9800,9.3800,1.4904
combined,35684,12.9400,10.0000,1.2940
combined,35818,13.3600,10.5800,1.2628
combined,35952,13.5800,10.4900,1.2946
combined,36086,14.5300,10.2800,1.4134
combined,36369,14.3300,9.6500,1.4850
combined,36623,14.2100,10.9200,1.3013
combined,36756,14.2500,11.0700,1.2873
combined,37024,14.4900,10.1400,1.4290
combined,37385,14.8800,10.8000,1.3778
combined,37639,14.6200,10.8600,1.3462
combined,37828,14.7300,10.7100,1.3754
combined,38096,15.1800,11.6100,1.3075
combined,38401,15.1000,11.1000,1.3604
combined,38655,15.6600,10.3300,1.5160
combined,38900,15.2100,10.9000,1.3954
combined,39168,15.5400,10.5100,1.4786
combined,39972,15.7800,10.6400,1.4831
combined,40240,15.2000,11.6300,1.3070
